rank	word	wordlength	count	frequency(count*100/32)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	nescio	6	1	3.125	3.125	1	1
1	obsecro	7	1	3.125	6.25	1	1
1	venisse	7	1	3.125	9.375	1	1
1	salvom	6	1	3.125	12.5	1	1
1	salve	5	1	3.125	15.625	1	1
1	clinia	6	1	3.125	18.75	1	1
1	mi	2	1	3.125	21.875	1	1
1	o	1	1	3.125	25	1	1
1	non	3	1	3.125	28.125	1	1
1	an	2	1	3.125	31.25	1	1
1	cliniam	7	1	3.125	34.375	1	1
1	videon	6	1	3.125	37.5	1	1
1	misera	6	1	3.125	40.625	1	1
1	perii	5	1	3.125	43.75	1	1
1	disperii	8	1	3.125	46.875	1	1
1	me	2	1	3.125	50	1	1
1	alias	5	1	3.125	53.125	1	1
1	retine	6	1	3.125	56.25	1	1
1	ah	2	1	3.125	59.375	1	1
1	commodum	8	1	3.125	62.5	1	1
1	compararem	10	1	3.125	65.625	1	1
1	meum	4	1	3.125	68.75	1	1
1	commodo	7	1	3.125	71.875	1	1
1	illiu	5	1	3.125	75	1	1
1	ex	2	1	3.125	78.125	1	1
1	ut	2	1	3.125	81.25	1	1
1	sedulo	6	1	3.125	84.375	1	1
1	fecisse	7	1	3.125	87.5	1	1
1	scio	4	1	3.125	90.625	1	1
1	semper	6	1	3.125	93.75	1	1
1	mequidem	8	1	3.125	96.875	1	1
1	gaudeo	6	1	3.125	100	1	1
