rank	word	wordlength	count	frequency(count*100/79)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	te	2	4	5.0633	5.0633	4	4
2	et	2	3	3.7975	8.8608	6	2
2	aut	3	3	3.7975	12.6582	6	2
3	non	3	2	2.5316	15.1899	6	1.3
3	quin	4	2	2.5316	17.7215	6	1.3
4	ergo	4	1	1.2658	18.9873	4	1
4	est	3	1	1.2658	20.2532	4	1
4	via	3	1	1.2658	21.519	4	1
4	qua	3	1	1.2658	22.7848	4	1
4	advorsarios	11	1	1.2658	24.0506	4	1
4	ulcisci	7	1	1.2658	25.3165	4	1
4	iniurium	8	1	1.2658	26.5823	4	1
4	autem	5	1	1.2658	27.8481	4	1
4	eadem	5	1	1.2658	29.1139	4	1
4	insidiabere	11	1	1.2658	30.3797	4	1
4	contra	6	1	1.2658	31.6456	4	1
4	amabo	5	1	1.2658	32.9114	4	1
4	tu	2	1	1.2658	34.1772	4	1
4	captent	7	1	1.2658	35.443	4	1
4	capi	4	1	1.2658	36.7089	4	1
4	ipsos	5	1	1.2658	37.9747	4	1
4	expleat	7	1	1.2658	39.2405	4	1
4	eheu	4	1	1.2658	40.5063	4	1
4	me	2	1	1.2658	41.7722	4	1
4	miseram	7	1	1.2658	43.038	4	1
4	quor	4	1	1.2658	44.3038	4	1
4	istaec	6	1	1.2658	45.5696	4	1
4	mihi	4	1	1.2658	46.8354	4	1
4	aetas	5	1	1.2658	48.1013	4	1
4	formast	7	1	1.2658	49.3671	4	1
4	tibi	4	1	1.2658	50.6329	4	1
4	haec	4	1	1.2658	51.8987	4	1
4	sententia	9	1	1.2658	53.1646	4	1
4	salve	5	1	1.2658	54.4304	4	1
4	mecastor	8	1	1.2658	55.6962	4	1
4	hiscin	6	1	1.2658	56.962	4	1
4	suam	4	1	1.2658	58.2278	4	1
4	voluptatem	10	1	1.2658	59.4937	4	1
4	nemo	4	1	1.2658	60.7595	4	1
4	sedulo	6	1	1.2658	62.0253	4	1
4	moneo	5	1	1.2658	63.2911	4	1
4	hortor	6	1	1.2658	64.557	4	1
4	ne	2	1	1.2658	65.8228	4	1
4	quoiusquam	10	1	1.2658	67.0886	4	1
4	misereat	8	1	1.2658	68.3544	4	1
4	spolies	7	1	1.2658	69.6203	4	1
4	mutiles	7	1	1.2658	70.8861	4	1
4	laceres	7	1	1.2658	72.1519	4	1
4	quemque	7	1	1.2658	73.4177	4	1
4	nacta	5	1	1.2658	74.6835	4	1
4	sis	3	1	1.2658	75.9494	4	1
4	neminem	7	1	1.2658	77.2152	4	1
4	nam	3	1	1.2658	78.481	4	1
4	illorum	7	1	1.2658	79.7468	4	1
4	propterea	9	1	1.2658	81.0127	4	1
4	quisquam	8	1	1.2658	82.2785	4	1
4	scito	5	1	1.2658	83.5443	4	1
4	ad	2	1	1.2658	84.8101	4	1
4	venit	5	1	1.2658	86.0759	4	1
4	ita	3	1	1.2658	87.3418	4	1
4	paret	5	1	1.2658	88.6076	4	1
4	sese	4	1	1.2658	89.8734	4	1
4	abs	3	1	1.2658	91.1392	4	1
4	ut	2	1	1.2658	92.4051	4	1
4	blanditiis	10	1	1.2658	93.6709	4	1
4	suis	4	1	1.2658	94.9367	4	1
4	quam	4	1	1.2658	96.2025	4	1
4	minimo	6	1	1.2658	97.4684	4	1
4	pretio	6	1	1.2658	98.7342	4	1
4	parmeno	7	1	1.2658	100	4	1
