rank	word	wordlength	count	frequenz(count*100/170)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ego	3	5	2.9412	2.9412	5	5
1	me	2	5	2.9412	5.8824	5	5
2	esse	4	3	1.7647	7.6471	6	2.5
2	neque	5	3	1.7647	9.4118	6	2.5
2	mihi	4	3	1.7647	11.1765	6	2.5
2	tu	2	3	1.7647	12.9412	6	2.5
2	si	2	3	1.7647	14.7059	6	2.5
2	haec	4	3	1.7647	16.4706	6	2.5
3	aliter	6	2	1.1765	17.6471	6	1.7
3	phaedria	8	2	1.1765	18.8235	6	1.7
3	ut	2	2	1.1765	20	6	1.7
3	non	3	2	1.1765	21.1765	6	1.7
3	et	2	2	1.1765	22.3529	6	1.7
3	te	2	2	1.1765	23.5294	6	1.7
3	hoc	3	2	1.1765	24.7059	6	1.7
3	hic	3	2	1.1765	25.8824	6	1.7
3	sum	3	2	1.1765	27.0588	6	1.7
3	sunt	4	2	1.1765	28.2353	6	1.7
3	audio	5	2	1.1765	29.4118	6	1.7
3	istuc	5	2	1.1765	30.5882	6	1.7
3	qui	3	2	1.1765	31.7647	6	1.7
3	prior	5	2	1.1765	32.9412	6	1.7
4	mane	4	1	0.5882	33.5294	4	1.3
4	ad	2	1	0.5882	34.1176	4	1.3
4	immo	4	1	0.5882	34.7059	4	1.3
4	utere	5	1	0.5882	35.2941	4	1.3
4	placeo	6	1	0.5882	35.8824	4	1.3
4	utar	4	1	0.5882	36.4706	4	1.3
4	sic	3	1	0.5882	37.0588	4	1.3
4	rem	3	1	0.5882	37.6471	4	1.3
4	ob	2	1	0.5882	38.2353	4	1.3
4	dum	3	1	0.5882	38.8235	4	1.3
4	potior	6	1	0.5882	39.4118	4	1.3
4	sit	3	1	0.5882	40	4	1.3
4	minime	6	1	0.5882	40.5882	4	1.3
4	antipho	7	1	0.5882	41.1765	4	1.3
4	antecessit	10	1	0.5882	41.7647	4	1.3
4	ei	2	1	0.5882	42.3529	4	1.3
4	verum	5	1	0.5882	42.9412	4	1.3
4	nego	4	1	0.5882	43.5294	4	1.3
4	num	3	1	0.5882	44.1176	4	1.3
4	dandumst	8	1	0.5882	44.7059	4	1.3
4	melioribus	10	1	0.5882	45.2941	4	1.3
4	locum	5	1	0.5882	45.8824	4	1.3
4	da	2	1	0.5882	46.4706	4	1.3
4	lacrumet	8	1	0.5882	47.0588	4	1.3
4	det	3	1	0.5882	47.6471	4	1.3
4	enimvero	8	1	0.5882	48.2353	4	1.3
4	lege	4	1	0.5882	48.8235	4	1.3
4	cras	4	1	0.5882	49.4118	4	1.3
4	fefellit	8	1	0.5882	50	4	1.3
4	faciam	6	1	0.5882	50.5882	4	1.3
4	tamen	5	1	0.5882	51.1765	4	1.3
4	utut	4	1	0.5882	51.7647	4	1.3
4	sed	3	1	0.5882	52.3529	4	1.3
4	fui	3	1	0.5882	52.9412	4	1.3
4	ac	2	1	0.5882	53.5294	4	1.3
4	nihilo	6	1	0.5882	54.1176	4	1.3
4	argentum	8	1	0.5882	54.7059	4	1.3
4	miles	5	1	0.5882	55.2941	4	1.3
4	isti	4	1	0.5882	55.8824	4	1.3
4	iste	4	1	0.5882	56.4706	4	1.3
4	mea	3	1	0.5882	57.0588	4	1.3
4	dare	4	1	0.5882	57.6471	4	1.3
4	se	2	1	0.5882	58.2353	4	1.3
4	dixit	5	1	0.5882	58.8235	4	1.3
4	mi	2	1	0.5882	59.4118	4	1.3
4	hunc	4	1	0.5882	60	4	1.3
4	scibat	6	1	0.5882	60.5882	4	1.3
4	modi	4	1	0.5882	61.1765	4	1.3
4	huiu	4	1	0.5882	61.7647	4	1.3
4	nam	3	1	0.5882	62.3529	4	1.3
4	attuleri	8	1	0.5882	62.9412	4	1.3
4	decipit	7	1	0.5882	63.5294	4	1.3
4	credidi	7	1	0.5882	64.1176	4	1.3
4	pollicitantem	13	1	0.5882	64.7059	4	1.3
4	repperi	7	1	0.5882	65.2941	4	1.3
4	novi	4	1	0.5882	65.8824	4	1.3
4	atque	5	1	0.5882	66.4706	4	1.3
4	incogitantem	12	1	0.5882	67.0588	4	1.3
4	adeon	5	1	0.5882	67.6471	4	1.3
4	modo	4	1	0.5882	68.2353	4	1.3
4	garri	5	1	0.5882	68.8235	4	1.3
4	canis	5	1	0.5882	69.4118	4	1.3
4	eandem	6	1	0.5882	70	4	1.3
4	cantilenam	10	1	0.5882	70.5882	4	1.3
4	somnium	7	1	0.5882	71.1765	4	1.3
4	logi	4	1	0.5882	71.7647	4	1.3
4	fabulae	7	1	0.5882	72.3529	4	1.3
4	hariolare	9	1	0.5882	72.9412	4	1.3
4	adferres	8	1	0.5882	73.5294	4	1.3
4	phaleratis	10	1	0.5882	74.1176	4	1.3
4	quicquam	8	1	0.5882	74.7059	4	1.3
4	mirabar	7	1	0.5882	75.2941	4	1.3
4	loquere	7	1	0.5882	75.8824	4	1.3
4	miliens	7	1	0.5882	76.4706	4	1.3
4	eadem	5	1	0.5882	77.0588	4	1.3
4	audire	6	1	0.5882	77.6471	4	1.3
4	iam	3	1	0.5882	78.2353	4	1.3
4	taedet	6	1	0.5882	78.8235	4	1.3
4	enim	4	1	0.5882	79.4118	4	1.3
4	at	2	1	0.5882	80	4	1.3
4	omitte	6	1	0.5882	80.5882	4	1.3
4	quin	4	1	0.5882	81.1765	4	1.3
4	inpudentem	10	1	0.5882	81.7647	4	1.3
4	ducas	5	1	0.5882	82.3529	4	1.3
4	omnia	5	1	0.5882	82.9412	4	1.3
4	verba	5	1	0.5882	83.5294	4	1.3
4	contra	6	1	0.5882	84.1176	4	1.3
4	nunc	4	1	0.5882	84.7059	4	1.3
4	flentem	7	1	0.5882	85.2941	4	1.3
4	ferentem	8	1	0.5882	85.8824	4	1.3
4	nil	3	1	0.5882	86.4706	4	1.3
4	tuli	4	1	0.5882	87.0588	4	1.3
4	mensis	6	1	0.5882	87.6471	4	1.3
4	meum	4	1	0.5882	88.2353	4	1.3
4	ingenium	8	1	0.5882	88.8235	4	1.3
4	advorsum	8	1	0.5882	89.4118	4	1.3
4	compluris	9	1	0.5882	90	4	1.3
4	istaec	6	1	0.5882	90.5882	4	1.3
4	optunde	7	1	0.5882	91.1765	4	1.3
4	dictis	6	1	0.5882	91.7647	4	1.3
4	suo	3	1	0.5882	92.3529	4	1.3
4	emptam	6	1	0.5882	92.9412	4	1.3
4	aere	4	1	0.5882	93.5294	4	1.3
4	ancillam	8	1	0.5882	94.1176	4	1.3
4	facinus	7	1	0.5882	94.7059	4	1.3
4	indignum	8	1	0.5882	95.2941	4	1.3
4	quam	4	1	0.5882	95.8824	4	1.3
4	est	3	1	0.5882	96.4706	4	1.3
4	in	2	1	0.5882	97.0588	4	1.3
4	ipsum	5	1	0.5882	97.6471	4	1.3
4	gratiis	7	1	0.5882	98.2353	4	1.3
4	ductes	6	1	0.5882	98.8235	4	1.3
4	meam	4	1	0.5882	99.4118	4	1.3
4	vale	4	1	0.5882	100	4	1.3
